"","TOPLD1DAY1","AISLE1DAY1","PSADAY1","EXHIBITIONDAY1","MAINDAY1","POSTERDAY1","PSBDAY1","WC1DAY1","PSCDAY1","ROOM1DAY1","PSDDAY1","ROOM2DAY1","CIDAY1","BOTLD1DAY1","SERVEDAY1","ROOM3DAY1","ROOM4DAY1","WC2DAY1","CIENTRY4DAY1","TOPLD2DAY1","CANTEENDAY1","AISLE2DAY1","WC3DAY1","ROOM6DAY1","ROOM5DAY1","ENTERTAINDAY1","BOTLD2DAY1","TOPLD1DAY2","AISLE1DAY2","PSADAY2","EXHIBITIONDAY2","MAINDAY2","POSTERDAY2","PSBDAY2","WC1DAY2","PSCDAY2","ROOM1DAY2","PSDDAY2","ROOM2DAY2","CIDAY2","BOTLD1DAY2","SERVEDAY2","ROOM3DAY2","ROOM4DAY2","WC2DAY2","TOPLD2DAY2","CANTEENDAY2","AISLE2DAY2","WC3DAY2","ROOM6DAY2","ROOM5DAY2","ENTERTAINDAY2","BOTLD2DAY2","TOPLD1DAY3","AISLE1DAY3","PSADAY3","EXHIBITIONDAY3","MAINDAY3","POSTERDAY3","PSBDAY3","WC1DAY3","PSCDAY3","ROOM1DAY3","ROOM2DAY3","CIDAY3","BOTLD1DAY3","SERVEDAY3","ROOM3DAY3","ROOM4DAY3","WC2DAY3","TOPLD2DAY3","AISLE2DAY3","WC3DAY3","ROOM6DAY3","ROOM5DAY3","ENTERTAINDAY3","BOTLD2DAY3"
"10000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041,0,2908,9036,879,0,390,0,1199,0,0,51,91,0,790,0,261,0,1068,344,83,0,0,3127,92,0,947,2699,0,4908,50,0,193,0,0,0,0,33,0,0,0,0,0,136,0,0,0,0,27
"10001",0,1259,0,0,0,638,0,0,0,0,9138,0,12,68,0,0,0,0,0,0,0,129,0,0,0,188,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3233,2120,2142,9110,425,0,52,5227,1221,0,0,349,177,0,581,0,89,0,585,944,206,0,0,299,164,0,950,0,0,3546,504,0,54,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0
"10003",0,800,0,979,9489,0,0,0,0,0,0,0,8,32,0,0,0,153,0,0,0,135,147,0,0,0,24,0,2839,0,0,9852,616,0,663,11,1160,0,0,296,148,0,0,0,222,0,1146,510,300,0,0,1770,154,0,1210,1823,0,6278,42,0,137,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
"10004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2534,0,840,8656,100,0,287,5869,783,0,0,8,153,0,0,0,283,0,852,713,358,0,0,7512,147,0,1761,0,18,2713,61,4031,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2332,103,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10012",0,1331,0,0,12121,78,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3171,2323,638,10305,56,0,0,4314,0,0,0,7,140,10,0,0,812,0,0,423,0,0,0,271,160,0,451,0,7157,2236,0,0,0,0,697,0,0,0,7,0,0,240,0,0,0,0,0,0,0
"10014",0,943,0,834,10995,0,0,267,0,0,0,0,30,81,15,492,0,208,0,0,375,157,0,0,0,46,76,0,3289,0,404,9691,305,0,664,0,0,2771,0,46,174,22,542,0,174,0,1126,706,790,0,0,3420,163,0,826,2469,0,6144,371,0,0,0,0,0,0,32,10,0,0,0,0,140,0,0,0,0,27
"10015",0,2443,0,31,12137,766,0,153,0,166,8748,0,26,164,0,0,0,151,0,0,702,739,342,0,0,5035,158,0,3312,1690,1787,10970,114,5942,301,0,0,0,0,0,176,0,0,0,167,0,663,2410,78,0,0,347,194,0,1254,0,2278,4253,455,1597,190,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
"10018",0,444,0,690,4727,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,151,160,0,0,0,0,41,0,2020,0,346,9905,126,5384,588,0,0,0,0,0,219,8,618,0,166,0,718,1957,453,0,0,6583,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10019",76,2995,9992,0,10696,959,0,223,0,1219,0,3538,0,0,7,538,0,0,0,61,1569,126,0,0,0,0,0,78,4738,2719,2567,2576,688,0,0,0,2140,0,13327,0,0,0,720,0,97,69,5747,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10021",0,832,0,126,12185,0,0,0,0,0,0,0,30,37,0,0,0,0,0,0,0,191,0,0,0,0,29,0,1143,0,866,10523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,0,2781,3244,33,0,0,0,0,0,0,35,7,0,0,0,0,175,88,0,0,2402,27
"10022",0,2547,0,0,10026,8,0,129,0,0,0,0,27,89,8,0,0,0,0,0,0,390,0,0,0,492,88,0,3282,0,2234,9582,52,0,328,2750,0,0,0,50,75,0,0,0,391,0,0,448,559,0,0,4611,88,0,1022,0,2891,1660,14,0,0,0,0,0,423,36,0,0,0,0,0,66,0,0,0,1923,28
"10023",0,1223,0,0,0,78,0,230,9272,170,0,0,15,47,0,0,0,0,0,0,0,135,0,0,0,404,41,0,140,0,3015,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10026",0,1299,0,188,10419,0,0,0,0,0,0,0,0,100,21,387,0,702,0,0,324,257,0,0,0,132,125,0,760,0,681,11299,0,0,0,0,0,0,0,47,0,0,0,0,403,0,0,0,0,0,0,0,0,0,896,2207,873,4959,46,0,0,0,0,0,0,36,7,0,0,0,0,145,0,0,0,0,29
"10027",0,1250,0,171,9938,0,0,0,0,0,0,0,30,97,145,548,0,0,0,0,768,254,64,0,0,0,79,0,3053,0,474,9571,76,0,315,0,1100,6757,0,0,167,0,0,0,63,0,1210,787,361,0,0,5003,163,0,1350,2526,260,6617,38,0,0,0,0,0,0,0,122,0,0,378,0,0,0,0,0,0,0
"10032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3566,0,0,0,127,0,78,0,14,19,0,8,38,0,0,0,0,0,0,385,0,0,0,0,31,0,918,0,0,0,19,6264,0,0,0,0,24,33,0,0,0,0,0,131,84,0,0,0,25
"10033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,0,0,0,52,0,95,6539,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"10037",0,207,0,0,0,0,0,0,0,439,0,0,16,77,0,0,0,0,0,0,830,314,254,0,9760,0,67,0,1482,0,0,0,0,0,278,0,409,0,0,86,38,0,0,0,0,0,906,228,95,0,20305,0,32,0,502,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,155,59,0,0,0,27
"10041",0,444,0,0,0,0,0,334,0,494,0,0,0,38,7,0,0,0,0,0,827,194,264,0,24728,0,35,0,1271,0,0,0,15,0,0,0,0,0,0,0,85,0,0,0,0,0,798,330,591,0,25443,0,85,0,114,0,0,0,0,0,0,0,0,0,339,32,0,0,0,0,0,64,0,0,7659,0,22
"10043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,568,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10045",0,810,0,161,10976,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,539,209,0,0,0,35,0,3645,1314,2545,10403,581,0,113,4163,0,0,0,49,106,8,0,0,0,0,680,557,504,0,0,5308,91,0,1174,2191,0,6067,18,0,0,0,0,0,34,0,0,0,0,84,0,0,0,0,0,0,0
"10046",0,1534,0,0,0,10,0,144,0,485,0,0,25,80,26,0,0,0,0,0,6800,234,0,0,18071,38,79,0,442,0,0,0,0,0,0,0,2245,0,0,0,36,7,0,0,392,0,6864,266,532,0,18744,66,30,0,1096,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,72,0,0,0,0,27
"10049",0,698,0,1005,6992,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,314,129,0,0,0,0,40,0,3586,0,1781,10239,1380,0,81,2461,0,0,0,336,181,0,587,0,465,0,717,554,0,0,0,3354,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,24,0,75,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10051",0,1851,0,0,10351,447,0,0,0,0,0,0,30,147,0,0,0,0,0,0,909,367,114,0,0,468,141,0,2884,0,2017,10168,71,0,0,0,0,8023,0,0,87,0,404,0,0,0,424,440,197,0,0,3849,97,0,1416,0,925,6549,11,0,180,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
"10053",0,591,0,1145,7457,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3351,0,0,9452,29,0,0,0,651,0,0,0,101,0,0,0,1137,0,497,503,316,0,0,6634,116,0,549,0,1236,5367,30,0,0,0,0,0,0,46,0,0,0,0,0,147,723,0,0,0,27
