"","TOPLD1DAY1","AISLE1DAY1","PSADAY1","EXHIBITIONDAY1","MAINDAY1","POSTERDAY1","PSBDAY1","WC1DAY1","PSCDAY1","ROOM1DAY1","PSDDAY1","ROOM2DAY1","CIDAY1","BOTLD1DAY1","SERVEDAY1","ROOM3DAY1","ROOM4DAY1","WC2DAY1","CIENTRY4DAY1","TOPLD2DAY1","CANTEENDAY1","AISLE2DAY1","WC3DAY1","ROOM6DAY1","ROOM5DAY1","ENTERTAINDAY1","BOTLD2DAY1"
"11396",7,32635,0,226,248,9,0,0,0,0,0,0,0,115,0,0,0,688,0,0,0,299,0,3317,0,0,107
"16111",0,33144,0,144,85,0,0,0,0,0,0,0,0,139,9,0,0,0,0,0,0,344,0,3145,0,0,127
"10196",0,495,0,0,0,0,0,0,0,0,0,0,32795,124,8,0,0,0,0,0,0,325,0,3054,0,0,110
"13300",0,458,0,0,0,8,0,443,0,0,0,0,31858,117,0,0,0,0,0,0,0,391,506,2950,0,0,108
"10164",0,227,0,0,0,0,0,0,0,0,0,0,33178,100,0,0,0,0,0,0,0,249,0,2695,0,0,76
"18689",0,33701,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0,0,0,0,207,0,2708,0,0,66
"14678",0,215,0,0,0,0,0,0,0,0,0,0,18818,79,0,0,0,0,0,0,0,231,0,2512,0,0,71
"18367",0,660,0,0,0,0,0,0,0,0,0,0,31542,195,0,0,0,377,0,0,0,457,0,2558,0,0,173
"17516",0,86,0,0,0,0,0,0,0,0,0,0,0,33966,0,0,0,0,0,0,0,209,0,2571,0,0,69
"12573",0,33165,0,0,0,0,0,521,0,0,0,0,0,114,0,0,0,0,0,0,0,314,0,2431,0,0,104
"14825",0,419,0,0,0,0,0,0,0,0,0,0,32226,121,0,0,0,0,0,0,0,382,0,2522,0,0,112
"13339",0,33386,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,208,0,2392,0,0,68
"13982",0,33511,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,228,0,1774,0,0,69
"19027",0,33736,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,79,0,0,0,318,0,2085,0,0,108
"18059",0,34062,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0,0,0,0,206,0,2057,0,0,66
"15152",0,260,0,0,0,0,0,0,0,0,0,0,18550,76,0,0,0,0,0,0,0,213,0,1987,0,0,66
"16290",0,34039,0,0,0,0,0,0,0,0,0,0,7,75,0,0,0,0,0,0,0,202,0,1737,0,0,65
"10638",0,247,0,0,0,0,0,0,0,0,0,0,0,77,34983,0,0,0,0,0,0,282,587,1674,0,0,69
"15801",0,268,0,0,0,0,0,0,0,0,0,0,33647,87,0,0,0,0,0,0,0,233,0,1756,0,0,71
"19617",0,340,0,31798,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,438,666,3049,0,0,112
"10762",0,474,0,0,0,0,0,0,0,0,0,0,0,120,34236,0,0,0,0,0,0,379,0,1718,0,0,108
"15408",0,294,0,0,0,0,0,0,0,0,0,0,32874,85,0,0,0,0,0,0,0,271,405,1756,0,0,75
"11026",0,414,0,31907,0,0,0,942,0,0,0,0,0,151,0,0,0,0,0,0,0,328,0,2656,0,0,140
"11165",0,33469,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,208,0,1774,0,0,68
"13460",0,200,0,32955,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,202,0,2068,0,0,68
"13890",0,266,0,33207,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,201,0,1907,0,0,67
"12805",0,240,0,88,11989,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,269,827,2979,0,0,81
"12534",0,1044,0,1265,9764,0,0,25,0,0,0,0,0,87,8,558,0,0,0,0,0,1908,43,0,0,255,89
"14715",0,2717,0,3269,10058,508,0,0,0,196,5001,0,0,219,0,479,0,384,0,0,755,693,197,0,0,7844,217
"16453",0,2709,1461,3508,10491,392,5029,632,0,474,0,0,0,135,0,497,0,428,0,0,337,352,0,0,0,5960,139
"14628",0,3879,0,1133,12416,614,0,375,5713,184,2207,0,0,89,0,0,0,0,0,0,1028,498,311,0,0,4295,107
"18812",0,2403,0,4831,4676,0,0,0,0,0,0,0,0,79,0,441,0,340,0,0,337,1725,0,0,0,0,68
