"","x","y","c","index"
"18367",3.66003126533846,-1.0611596445283,1,"18367"
"15367",3.67313338587183,-1.05170894302869,1,"15367"
"15670",3.67998411347467,-1.05812007738451,1,"15670"
"13982",-2.54273536035401,3.38824707241997,3,"13982"
"14825",3.67493341625133,-1.06430230412571,1,"14825"
"10196",0.957729848050782,-1.97868313792128,1,"10196"
"11251",3.69648208950613,-1.05734406733614,1,"11251"
"15801",3.68889150546666,-1.04924702984196,1,"15801"
"13339",-2.54089531115498,3.37496915216059,3,"13339"
"18347",-2.53933744130838,3.38960312228595,3,"18347"
"18689",-2.5330351542849,3.38880203036934,3,"18689"
"16290",-2.54149256051595,3.39929918069952,3,"16290"
"11778",0.889756523479413,-1.97710452228467,1,"11778"
"16111",-2.54347463931739,3.39318328242952,3,"16111"
"14859",3.70731810522341,-1.04880934460665,1,"14859"
"15408",3.68295929751609,-1.05213622549303,1,"15408"
"16065",3.67926313065504,-1.03939664887216,1,"16065"
"10345",3.6781434971969,-1.04832742367448,1,"10345"
"15152",3.67875972717886,-1.05753261036344,1,"15152"
"16045",-3.65610676420876,-1.52506638201758,7,"16045"
"16615",1.6829347672095,0.909727966879931,2,"16615"
"12554",0.647842519299815,0.184526889841539,2,"12554"
"15952",-1.94510149325118,1.02543950344585,2,"15952"
"17886",-1.03427577118084,-0.87655892602198,1,"17886"
"18912",1.35353468492707,0.892979272806532,2,"18912"
"10984",1.45685541648684,1.03789030453922,2,"10984"
"15587",-0.756797507792138,1.79914092977014,2,"15587"
"15851",1.35278992884377,0.874191393341664,2,"15851"
"11691",-0.0189523397670358,1.88013696856206,2,"11691"
"13935",1.60627062433327,1.04644144829009,2,"13935"
"14573",1.11807463777471,0.47300598606331,2,"14573"
"15342",-0.121703037680216,1.59285860584218,2,"15342"
"18063",1.46554464893243,0.722573148611824,2,"18063"
"18698",0.23955989007614,1.21397596996288,2,"18698"
"19469",0.305889128895165,0.067338694565652,2,"19469"
"14632",1.07010257574555,2.21121010582445,2,"14632"
"15469",0.257158331150483,1.35758149577717,2,"15469"
