"","x","y","c","json_data"
"V1",-7.17952723207915,-0.415271023016873,1,"11396"
"V2",-10.6845589867445,-2.28221199404928,1,"15367"
"V3",-10.2318981652622,-3.10367744712513,1,"16111"
"V4",-10.831615909842,-1.84410155102113,1,"10196"
"V5",-12.1651673543314,-3.43868218070703,1,"15800"
"V6",-10.2325903711412,-3.10623515848147,1,"11462"
"V7",-6.56547144849875,-0.103338745638153,1,"13300"
"V8",-10.2280449541772,-3.10319286873539,1,"12856"
"V9",-10.6809843619172,-2.27774499269791,1,"11876"
"V10",-10.8552858823516,-2.30746770599934,1,"10164"
"V11",-10.2270053654158,-3.10086550099676,1,"18689"
"V12",-12.1634328443804,-3.43103105090514,1,"11778"
"V13",-12.1938986561707,-3.43716942310413,1,"14678"
"V14",-7.08164453365239,0.513453422513384,1,"18367"
"V15",-12.1589889484989,-3.42601027370175,1,"17516"
"V16",-9.11681161674676,-2.06826284826875,1,"12573"
"V17",-9.33837875245933,-0.65466887588253,1,"14825"
"V18",-10.2314818040811,-3.10613211194064,1,"18123"
"V19",-10.232319139624,-3.10653622753542,1,"13339"
"V20",-10.2199504865945,-3.0962607257093,1,"13982"
"V21",-10.2335600530109,-3.11041508319185,1,"19027"
"V22",-10.4838986144923,-3.83872109893447,1,"18059"
"V23",-10.4024648247325,0.101585838771105,1,"14819"
"V24",-11.1258250640181,-1.80436970008367,1,"15670"
"V25",-12.0236927870138,-1.92286690649665,1,"15152"
"V26",-10.4829445956617,-3.83090969111003,1,"16290"
"V27",-11.37742276354,-3.76639193603165,1,"10638"
"V28",-12.0228904423123,-1.92272450141399,1,"15801"
"V29",-5.51878214816759,1.28018251528463,2,"19617"
"V30",-12.0246920668524,-1.92606708166709,1,"12602"
"V31",-10.7842444263223,-1.90689463676729,1,"10762"
"V32",-10.884607884762,-1.90228745273024,1,"14863"
"V33",-10.9639018791627,-1.6773567192234,1,"15408"
"V34",-9.4960504093395,-3.53183998276102,1,"19627"
"V35",-12.0248194625709,-1.92490737343868,1,"11532"
"V36",-12.0233073122294,-1.91670141802603,1,"16065"
"V37",-10.3421866129018,-0.388726515193626,1,"17054"
"V38",-8.31750555676997,-0.327456438574188,1,"11026"
"V39",-10.470289394239,-3.8343049242218,1,"11143"
"V40",-10.4843662417618,-3.83979697999913,1,"11165"
"V41",-12.0240541054508,-1.9151186681531,1,"11251"
"V42",-12.4488919049279,-4.01428649079384,1,"13322"
"V43",-10.9352477766255,-1.86092774748991,1,"16310"
"V44",-11.0200160632233,-2.45070637844585,1,"13460"
"V45",-11.05386274614,-2.54677069222066,1,"13890"
"V46",11.9738034422181,-5.95451573328025,3,"14461"
"V47",-10.07119037341,-3.10641560898661,1,"12805"
"V48",-4.57449238706975,7.53991857116653,2,"12534"
"V49",-5.91231944655775,2.21313292998314,2,"14649"
"V50",13.6119939468321,2.9121280156055,4,"14715"
"V51",17.3829728846973,0.555262556963833,5,"16453"
"V52",-3.8763623700184,6.18611403665876,2,"11170"
"V53",-3.98082259286794,4.76095824152539,2,"14090"
"V54",18.2157383822796,2.94598626966341,5,"14628"
"V55",-0.318811403422885,9.16884538811419,2,"14868"
"V56",16.7793514759375,4.24692402407871,4,"15701"
"V57",16.119979768301,1.62741706414746,4,"16737"
"V58",19.4010612268226,5.54068131119498,4,"16802"
"V59",-3.86468570795124,5.64425815025069,2,"18812"
"V60",-4.83903948589247,2.27394062587036,2,"10077"
"V61",-3.58541596304796,8.42936956793498,2,"11901"
"V62",21.5299267462078,2.6232854301162,5,"13041"
"V63",18.0718997736552,3.42084315123334,5,"14533"
"V64",-4.37058844415359,8.69980381270213,2,"14593"
"V65",-2.78553029572634,6.15198932158352,2,"17636"
"V66",-7.30485110269885,2.44623219274763,6,"18616"
"V67",15.7167943902312,-1.28041381453687,4,"13828"
"V68",19.6168778699893,3.56490013985039,5,"15110"
"V69",18.2467577992836,4.50477702273512,5,"15329"
"V70",-2.40274642810277,4.90107955867084,2,"15466"
"V71",-6.7093736681511,1.73863103712276,7,"15533"
"V72",14.404948953072,-1.42699983047459,4,"15820"
"V73",-8.65677614484708,0.518099308405067,7,"16433"
"V74",15.551364539204,-1.86295873811853,4,"16734"
"V75",20.4347238712338,-3.08383513915855,5,"18162"
"V76",14.9298111154155,-8.81492459480368,3,"18242"
"V77",-3.62418473783447,5.90841430865416,2,"18465"
"V78",-5.53442559701565,2.46149935873476,7,"18667"
"V79",12.9964831247598,-0.578801051191969,4,"10167"
"V80",16.6054813456543,2.11463428327345,4,"11586"
"V81",-5.21255558898897,8.13933126587578,2,"11655"
"V82",16.6546047787182,-0.790568794868943,4,"12842"
"V83",20.7571037460926,4.61232113676203,5,"13744"
"V84",-5.89312414175377,6.52151683436303,2,"14179"
"V85",18.9008604041987,-1.67044395382296,4,"14629"
"V86",25.6660941974198,14.7093083047404,5,"15787"
"V87",19.7330523981587,-10.6623355088285,3,"15905"
"V88",13.7375494904055,-3.51019808031029,4,"16705"
"V89",-9.22055438451711,-2.10396857362341,1,"18751"
"V90",18.3087016700179,4.40744447587593,4,"11453"
"V91",19.1434900036678,4.44261588751511,5,"12615"
"V92",16.7121981075409,4.9239559283005,5,"13691"
"V93",14.1976191235818,-8.11834491354638,3,"14257"
"V94",22.1978596813778,-2.74809889400405,5,"11819"
"V95",-3.8292258432876,2.7088458760404,7,"13147"
"V96",16.4577760699867,-7.46022379466803,3,"14403"
"V97",19.8064812247169,7.2787710583288,5,"16250"
"V98",14.7404203553802,-0.542814607586949,4,"17227"
"V99",-11.5488996789429,-3.0900657868373,1,"17561"
"V100",-5.53777505910156,2.34572182309014,7,"18401"
"V101",13.8897574786095,1.01007284279588,4,"19326"
"V102",17.8969982099657,1.13905737124943,5,"11478"
"V103",1.43077059376409,7.6990234550026,2,"15293"
"V104",-2.39950333732751,4.66765767934736,2,"15298"
"V105",19.5935397461449,-1.12900647593945,5,"18057"
"V106",-6.36191940483238,5.10920183366041,2,"19255"
"V107",19.3958896036287,-3.31849285533737,5,"10826"
"V108",12.1797255862142,5.21917393686203,4,"10882"
"V109",17.4575829526223,1.91127400237684,5,"15248"
"V110",19.0124293246322,6.35253270851825,4,"16421"
"V111",-9.05932152094979,-1.04561932820623,7,"17435"
"V112",-8.74022058429675,3.45036618222851,2,"19209"
"V113",19.4302998964697,2.04646767330724,5,"19547"
"V114",18.7796155747303,2.92217692571585,5,"10884"
"V115",18.5249508475763,-4.39374222338303,4,"18601"
"V116",19.8471013403648,-0.856329475053033,5,"19996"
"V117",19.1711510777274,6.72177064019192,5,"12102"
"V118",16.7477322388995,1.07000441948635,4,"12338"
"V119",-8.73434364095237,3.69361039855176,2,"13951"
"V120",-10.7580458604585,-5.5613431094926,1,"14100"
"V121",-7.16035052228628,0.331452048810721,7,"15241"
"V122",-2.46168035451866,7.61777325004286,2,"15694"
"V123",-6.21361379822637,2.97125255955325,7,"10295"
"V124",-2.98019355904633,8.68661694206846,2,"10725"
"V125",-8.03807979335855,0.0863589817375324,7,"11498"
"V126",8.17593742072271,-0.344272581775499,4,"15214"
"V127",-2.89223293756159,4.61800454061035,2,"17235"
"V128",18.1210662455972,-11.7002262128306,3,"17454"
"V129",4.31726040061649,3.87579467165072,2,"18468"
"V130",17.5650341431154,1.49692876295636,4,"18793"
"V131",22.04758850299,-1.75443826763419,5,"19779"
"V132",20.8257593975108,-1.41543819588234,5,"13569"
"V133",-7.13620714706933,1.81726540896681,2,"13667"
"V134",-3.95075601406396,4.44751351771947,2,"15840"
"V135",-4.31718190514701,4.85289967217355,2,"16747"
"V136",18.632539449792,-3.52204351577709,4,"17119"
"V137",-5.01285018807995,4.54911101493075,2,"17618"
"V138",-1.17013158137402,9.9737501245584,2,"18705"
"V139",13.7482829877977,-1.70419778304174,3,"10502"
"V140",13.0931584642496,4.59456369206965,4,"12176"
"V141",-3.57262140683199,6.70277589359618,2,"12463"
"V142",-3.93147251149884,5.1482389791441,2,"12868"
"V143",0.132066206831374,9.22419741280964,2,"13253"
"V144",-3.22011160836964,3.49688439094297,2,"14370"
"V145",21.9159752153437,-1.39801505288919,5,"17623"
"V146",10.646469318322,-0.937787469190087,4,"12075"
"V147",13.0162745345623,3.63785853222846,4,"12472"
"V148",13.6752020544987,-3.83769643738835,4,"13207"
"V149",10.8707319775129,-7.18218261824003,3,"15437"
"V150",0.668014575012918,4.42020618255428,2,"15712"
"V151",20.2399291024014,1.85810474566564,5,"16394"
"V152",-5.12997635289662,-1.13962254675802,7,"17378"
"V153",-2.05192886462342,7.92076467428948,2,"17902"
"V154",1.35645138712245,5.95914326044997,2,"10936"
"V155",19.5247584626902,-1.44134121877911,5,"12188"
"V156",0.648287266969479,8.13619558775702,2,"13351"
"V157",-8.83197667811184,1.60050647122929,1,"14792"
"V158",17.8315610305064,-2.00498302885973,5,"15764"
"V159",-9.04152188624718,-0.687966466504529,1,"16193"
"V160",17.50855276329,4.66887089826309,5,"16466"
"V161",18.7453154675574,-0.84884593344643,5,"16848"
"V162",22.0601100658728,2.65388957026505,5,"17009"
"V163",18.4767418148844,-1.53102212724667,5,"19684"
"V164",17.6099629102986,-3.26042277076385,5,"12979"
"V165",-1.54656856790767,4.37418927000101,2,"13005"
"V166",-3.82770013022281,-0.153457642870083,7,"13284"
"V167",12.9907760703066,4.74262736324763,4,"13335"
"V168",-8.89787300764992,0.124936277297949,7,"14612"
"V169",17.5984218188385,-0.116924755454249,4,"15235"
"V170",-7.31640700221082,1.92936657078624,7,"16132"
"V171",19.5063798406131,3.26650421986497,5,"16291"
"V172",-5.65227247692679,7.58866050924078,2,"16543"
"V173",-4.80552728046259,2.70401040957375,2,"17961"
"V174",-3.85221174017991,9.35322307451693,2,"10014"
"V175",11.4848186714299,1.51552547422784,4,"10943"
"V176",11.6196233571289,-1.60132903109629,4,"11818"
"V177",-2.18952818374845,8.45227466844421,2,"14726"
"V178",-1.92484590220132,5.96540654358911,2,"19224"
"V179",-4.77091262002121,5.44277908247049,2,"19992"
"V180",17.7038518782665,3.75680483491802,5,"10975"
"V181",13.8577444588978,5.06425372890024,4,"11783"
"V182",22.1157402315778,5.77460718796015,5,"15732"
"V183",-3.72615784127658,5.75593509572012,2,"15766"
"V184",-5.83766792967186,4.20828644531895,2,"12403"
"V185",-7.89042865974308,0.32449492104711,7,"12804"
"V186",-7.13070380493357,1.70919795286969,7,"15605"
"V187",14.9501046688605,-1.58786467695265,4,"16872"
"V188",20.1232210516165,-2.38974324059997,5,"18838"
"V189",-4.25961215888301,4.99348112368485,2,"10804"
"V190",-5.39020131411185,4.29531396824735,7,"11388"
"V191",-5.8577995326962,6.46340426506571,2,"13457"
"V192",19.7539325547766,6.77205202975898,5,"13505"
"V193",1.97443356054927,8.30157443520253,2,"14766"
"V194",14.9363914211825,-1.68588214361767,4,"15058"
"V195",17.6570176686944,-0.413628088447926,4,"18236"
"V196",-6.88265216222849,1.33944696069042,7,"18315"
"V197",14.2162361320047,1.19385018199871,4,"18556"
"V198",-3.85215902689905,4.87624584993412,2,"19645"
"V199",-10.3565717763368,-2.86657107126595,1,"11476"
"V200",-6.34964298177003,4.10499144872494,2,"11979"
"V201",7.90464858691194,0.167462639180345,4,"12375"
"V202",22.0407771867534,1.62847794110688,5,"12480"
"V203",19.170911385977,-1.61108784452344,5,"12766"
"V204",14.6624657484298,4.34439451696612,4,"14236"
"V205",0.241848258416861,7.93412304048331,2,"14884"
"V206",10.795037714526,-1.53811896765879,4,"15189"
"V207",-2.91844599810121,5.31075433366725,2,"16351"
"V208",17.9975642179536,-9.81140884304233,3,"18411"
"V209",16.1701766723927,-1.46002096325162,5,"19635"
"V210",21.668696506423,1.6219463317185,5,"11154"
"V211",20.0601498158745,-4.10676262709291,5,"14836"
"V212",-5.67891480505327,2.4218586956089,2,"16100"
"V213",12.3056243640868,-5.03228282149055,3,"17975"
"V214",12.1193635228256,-7.37935558500433,3,"18443"
"V215",8.30990613600281,-7.79808547614356,3,"18473"
"V216",2.35011249475581,4.26986939137376,2,"19363"
"V217",15.0190238120445,-7.06120286138121,3,"19886"
"V218",-7.13447903818903,0.353342802064895,7,"10264"
"V219",20.1996750461744,3.49332718434011,5,"13247"
"V220",-0.797818583170353,3.65166685016643,2,"14515"
"V221",-3.31036904361064,6.25582648775176,2,"14577"
"V222",18.0049518383569,4.6642188790868,4,"14646"
