,MAINEXITDAY2,TOPLD1DAY2,AISLE1DAY2,PSADAY2,EXHIBITIONDAY2,MAINDAY2,POSTERDAY2,PSBDAY2,WC1DAY2,PSCDAY2,ROOM1DAY2,PSDDAY2,ROOM2DAY2,CIDAY2,CIENTRY1DAY2,BOTLD1DAY2,SERVEDAY2,ROOM3DAY2,ROOM4DAY2,WC2DAY2,CIENTRY2DAY2,CIENTRY3DAY2,CIEXIT1DAY2,CIENTRY4DAY2,EXHEXIT1DAY2,EXHEXIT2DAY2,TOPLD2DAY2,CANTEENDAY2,AISLE2DAY2,WC3DAY2,ROOM6DAY2,ROOM5DAY2,ENTERTAINDAY2,BOTLD2DAY2
18367,0,0,832,0,0,0,9,0,0,0,0,0,0,29598,0,223,0,0,0,0,0,0,0,0,0,0,0,0,496,0,3430,0,0,201
15367,0,0,203,0,0,0,0,0,0,0,0,0,0,30961,0,77,0,0,0,0,0,0,0,0,0,0,0,0,304,0,3264,0,0,70
15670,0,0,338,0,0,0,0,0,0,0,0,0,0,31139,0,75,0,0,0,0,0,0,0,0,0,0,0,0,284,0,3152,0,0,70
13982,0,0,31952,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,206,0,1800,0,0,67
14825,0,0,818,0,0,0,0,0,321,0,0,0,0,29672,0,222,9,0,0,0,0,0,0,0,0,0,0,0,455,0,3226,0,0,191
10196,0,0,466,0,0,0,8,0,376,0,0,0,0,15364,0,117,0,0,0,0,0,0,0,0,0,0,0,0,410,370,3015,0,0,108
11251,0,0,313,0,0,0,0,0,0,0,0,0,0,31826,0,86,0,0,0,0,0,0,0,0,0,0,0,0,225,0,2919,0,0,68
15801,0,0,357,0,0,0,0,0,0,0,0,0,0,31801,0,74,0,0,0,0,0,0,0,0,0,0,0,0,211,0,1750,0,0,67
13339,0,0,41041,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,259,65,1785,0,0,65
18347,0,0,32145,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,230,0,2310,0,0,71
18689,0,0,31846,0,0,0,0,0,0,0,0,0,0,20,0,78,0,0,0,0,0,0,0,0,0,0,0,0,225,0,2252,0,0,71
16290,0,0,41179,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,199,0,2388,0,0,67
11778,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,31391,0,392,0,2196,0,0,72
16111,0,0,40990,0,128,79,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,196,0,1889,0,0,63
14859,0,0,264,0,0,0,0,0,0,0,0,0,0,31123,0,87,0,0,0,0,0,0,0,0,0,0,0,0,272,0,1945,0,0,76
15408,0,0,244,0,0,0,0,0,0,0,0,0,0,31095,0,96,0,0,0,0,0,0,0,0,0,0,0,0,262,0,1755,0,0,73
16065,0,0,278,0,0,0,0,0,0,0,0,0,0,31125,0,75,0,0,0,0,0,0,0,0,0,0,0,0,306,0,1712,0,0,69
10345,0,0,302,0,0,0,0,0,0,0,0,0,0,31515,0,76,0,0,0,0,0,0,0,0,0,0,0,0,199,0,1806,0,0,67
15152,0,0,347,0,0,0,0,0,0,0,0,0,0,31493,0,75,0,0,0,0,0,0,0,0,0,0,0,0,212,0,1741,0,0,68
16045,0,0,493,0,0,0,0,0,447,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,422,0,1788,28972,0,119
16615,0,0,306,0,0,10063,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,284,305,2715,0,0,72
12554,0,0,1889,0,0,8217,0,0,197,0,0,0,0,0,0,51,7,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,662,45
15952,0,0,2352,0,2435,9705,876,0,0,0,1216,6531,0,0,0,97,0,0,0,356,0,0,0,0,0,0,0,896,627,952,0,0,3989,109
17886,0,0,2164,0,5205,5201,441,0,0,0,0,0,0,35,0,34,0,0,0,351,0,0,0,0,0,0,0,1130,105,0,0,0,0,33
18912,0,0,1227,0,1618,9838,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10984,0,0,999,0,1268,10851,0,0,0,0,0,0,0,48,0,33,9,0,0,0,0,0,0,0,0,0,0,1676,183,0,0,0,0,40
15587,0,0,4088,0,5978,9739,293,5162,903,0,0,0,0,0,0,33,0,0,0,868,0,0,0,0,0,0,0,304,195,0,0,0,4301,49
15851,0,0,1182,0,1610,9800,7,0,0,0,0,0,0,29,0,60,8,433,0,203,0,0,0,0,0,0,0,177,122,0,0,0,0,55
